Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.4404,Thu Mar 22 12:30:10 +0000 2018,0.132,0.868,0.0,"🎶🎤Footloose, Fleetwood Mac's Rumours and Le Freak are among the classic records about to enter the US National Reco… https://t.co/gDLNOmNLhY",58,@BBC
0.5423,Thu Mar 22 11:30:17 +0000 2018,0.0,0.811,0.189,"Meet the five artists who have been shortlisted for the £30,000 Hepworth sculpture award. https://t.co/1UGe2zQlDT https://t.co/MwWxUZWAhs",59,@BBC
0.0,Thu Mar 22 10:58:34 +0000 2018,0.0,1.0,0.0,"RT @bbcwritersroom: Check out an interview with the #writer of #TheAssassinationofGianniVersace @tomrobsmith on our blog
https://t.co/m5rty…",60,@BBC
-0.5994,Thu Mar 22 10:49:54 +0000 2018,0.245,0.755,0.0,RT @bbcthree: 'I was the only female in a violent all-male gang' https://t.co/NjF720J71M https://t.co/k7T0PqyuiG,61,@BBC
-0.296,Thu Mar 22 10:30:09 +0000 2018,0.216,0.784,0.0,📱Can social media stop you getting a job? https://t.co/M9uTa8vMHA https://t.co/LwXJCGgW0b,62,@BBC
0.0,Thu Mar 22 09:54:21 +0000 2018,0.0,1.0,0.0,RT @bbcpress: 50 classic cookery shows served up on @BBCiPlayer this Easter: https://t.co/RbyjFq6Dsj https://t.co/Hvt1m1dhpU,63,@BBC
0.0,Thu Mar 22 09:33:03 +0000 2018,0.0,1.0,0.0,"Come on, who doesn't say ""xylophone"" on a daily basis? 😂📚@daraobriain #LiveAtTheApollo

https://t.co/5k1yKuwpzA",64,@BBC
-0.3612,Thu Mar 22 08:33:02 +0000 2018,0.185,0.815,0.0,"Tantrums are inevitable... 😾😳This is how you raise a baby jaguar. #BigCatsAboutTheHouse

https://t.co/4mBf6xmvOr",65,@BBC
0.0,Wed Mar 21 20:56:41 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: John Bishop’s on a one man mission to World Cup victory for @SportRelief!

Keep an eye out here for Geoff Hurst's 'dab' 😳🤣🙌…",66,@BBC
-0.1154,Wed Mar 21 20:51:06 +0000 2018,0.079,0.921,0.0,"""I felt vulnerable but now I feel empowered.”

25-year-old rapper Paigey Cakey had a hair transplant after her hair… https://t.co/fGoueTbzyQ",67,@BBC
0.0,Wed Mar 21 20:03:04 +0000 2018,0.0,1.0,0.0,"Watch as @ZoeTheBall attempts to cycle over 300 miles, to raise awareness about mental health and raise money for… https://t.co/qGcCT8wLSt",68,@BBC
-0.5994,Wed Mar 21 19:03:04 +0000 2018,0.163,0.837,0.0,"Who were my parents - and why was I left on a hillside to die? 

After a life full of questions, Anthea finally has… https://t.co/5fEma0vgfw",69,@BBC
0.4249,Wed Mar 21 17:03:04 +0000 2018,0.0,0.865,0.135,"😍🍫You really can't go wrong with a recipe from Mary Berry. 

❤️️🍰 Here are some of @BBCFood's favourites. 👉… https://t.co/svyK73KV0o",70,@BBC
0.4939,Wed Mar 21 16:30:07 +0000 2018,0.0,0.868,0.132,"Is it too late to save the oceans from plastic? 🦈

Go behind the scenes of the documentary Sir David Attenborough c… https://t.co/SjXbB6OZAN",71,@BBC
0.4019,Wed Mar 21 16:29:54 +0000 2018,0.0,0.886,0.114,"RT @bbcmusic: Anne-Marie, Kylie Minogue, Ladysmith Black Mambazo and more have been added to the lineup for The Queen's Birthday Party conc…",72,@BBC
0.0,Wed Mar 21 15:59:03 +0000 2018,0.0,1.0,0.0,"Fictional locations such as Narnia, Gotham City and Neverland have mysteriously appeared on road signs in Oxfordshi… https://t.co/3NzQqfNNux",73,@BBC
-0.0516,Wed Mar 21 14:03:03 +0000 2018,0.054,0.946,0.0,"🎶 Did you know that @DBtodomundo was asked to leave his school choir? 

📻 Here are 11 things we learned from the Ta… https://t.co/tusEZQgIbG",74,@BBC
0.0,Wed Mar 21 13:30:02 +0000 2018,0.0,1.0,0.0,What did students think when the BBC transported them to places they never thought possible? #ForReal… https://t.co/KFgZaE3PXi,75,@BBC
0.0,Wed Mar 21 13:03:01 +0000 2018,0.0,1.0,0.0,"Almost 1,000 sausage dogs have taken part in a dachshund dash! 🐶❤️️🐾

https://t.co/SMYaziJUrq",76,@BBC
0.1779,Wed Mar 21 12:33:01 +0000 2018,0.0,0.909,0.091,"Ruben is a star of @cbbc's #TheDumpingGround and has Down's Syndrome.

Growing up with a disability could have been… https://t.co/lNo1Pa2wTu",77,@BBC
0.8271,Wed Mar 21 11:46:05 +0000 2018,0.0,0.661,0.339,The annual Marmalade Festival held at the weekend is one of the UK's many festivals dedicated solely to a particula… https://t.co/I75Ufx17Gq,78,@BBC
0.0,Wed Mar 21 11:03:01 +0000 2018,0.0,1.0,0.0,"Spring has officially sprung! 🌺🌷🌸🌱🌻

https://t.co/fAZSeVV8Oo",79,@BBC
0.4003,Wed Mar 21 10:03:03 +0000 2018,0.0,0.856,0.144,"""I've just had a haircut so I now look ninety-nine-and-a-half!"" 💁🎉❤️️

A 100-year-old called Sadie has shared the s… https://t.co/X9QbWw0Ey0",80,@BBC
0.0,Wed Mar 21 09:58:25 +0000 2018,0.0,1.0,0.0,"RT @BBC_Teach: On #WorldPoetryDay let us know which your class’ favourite poem and/or poet?

Is it one of these? 👇👉 https://t.co/qtn7IPXDFH…",81,@BBC
0.34,Wed Mar 21 09:58:01 +0000 2018,0.082,0.776,0.142,RT @bbcthree: This inspirational teacher overcame his stammer and is now showing his students how to do the same. https://t.co/JMAWR0conA,82,@BBC
0.7845,Wed Mar 21 09:57:49 +0000 2018,0.0,0.566,0.434,RT @bbcthree: This Country winning their 3rd award 🏆🏆🏆 #RTSAwards https://t.co/oBdg1KruHK,83,@BBC
0.5994,Wed Mar 21 09:57:28 +0000 2018,0.0,0.837,0.163,"RT @bbcpress: Four new dramas announced for @BBCOne from writers Marnie Dickens (#Thirteen), Levi David Addai (#Damilola, Our Loved Boy), B…",84,@BBC
0.4574,Wed Mar 21 09:57:09 +0000 2018,0.0,0.885,0.115,RT @BBCOne: #EastEnders is back on Thursday with a special double bill at 7.30pm and 9pm on @BBCOne! And you know what that means… https://…,85,@BBC
0.7125,Wed Mar 21 09:33:01 +0000 2018,0.0,0.709,0.291,"⛈🌤😂 @AlanCarr responds to those weather forecasters that LOVE a bit of drama. 
https://t.co/T9gpTdqDt3",86,@BBC
0.0,Wed Mar 21 09:03:05 +0000 2018,0.0,1.0,0.0,"🌻🌻🌻 Did you know that the head of a sunflower is built of up to 2000 flowers? 

📻👉 https://t.co/aIWLu7AQES https://t.co/gNmcaG1ri5",87,@BBC
0.9336,Wed Mar 21 08:02:03 +0000 2018,0.0,0.438,0.562,"Wow! 19-year-old Justice Osei from Ghana has an amazing talent for imitating animals. 🐊🐢🐒🦇🐇🐿🐓🐑🐸🦆🦎
https://t.co/UZqeSyzsQB",88,@BBC
0.0,Tue Mar 20 19:48:04 +0000 2018,0.0,1.0,0.0,"This #WorldFrogDay, why not try making an origami jumping frog with @BBCTaster's step-by-step tutorial? 🐸… https://t.co/jjMqUND883",89,@BBC
0.0,Tue Mar 20 19:03:04 +0000 2018,0.0,1.0,0.0,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. 🇮🇳… https://t.co/4WG0esDk8m",90,@BBC
-0.3859,Tue Mar 20 18:33:01 +0000 2018,0.16,0.768,0.071,"Can you watch this without laughing? 😹🔊 You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5",91,@BBC
0.34,Tue Mar 20 17:33:03 +0000 2018,0.102,0.738,0.16,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U",92,@BBC
0.0,Tue Mar 20 17:03:01 +0000 2018,0.0,1.0,0.0,"Un-bee-lievable! 🐝😍 Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH",93,@BBC
0.0,Tue Mar 20 16:05:04 +0000 2018,0.0,1.0,0.0,"Arise, Sir Ringo! 🎖🎶@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",94,@BBC
0.0,Tue Mar 20 15:33:03 +0000 2018,0.0,1.0,0.0,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,95,@BBC
0.4084,Tue Mar 20 15:03:02 +0000 2018,0.0,0.868,0.132,"'Everybody has a voice'. ❤️️🎶

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",96,@BBC
0.6369,Tue Mar 20 14:24:06 +0000 2018,0.0,0.741,0.259,📸The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,97,@BBC
0.0,Tue Mar 20 14:03:04 +0000 2018,0.0,1.0,0.0,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. 🍰🍋💍… https://t.co/H7dWlxmYcR,98,@BBC
